algorithm,type,size,time
bintree_sort,int,10000,0.007000
rbtree_sort,int,10000,0.006000
qsort,int,10000,0.002000
bintree_sort,float,10000,0.007000
rbtree_sort,float,10000,0.006000
qsort,float,10000,0.002000
bintree_sort,double,10000,0.007000
rbtree_sort,double,10000,0.008000
qsort,double,10000,0.002000
bintree_sort,string,10000,0.007000
rbtree_sort,string,10000,0.007000
qsort,string,10000,0.003000
bintree_sort,int,50000,0.048000
rbtree_sort,int,50000,0.054000
qsort,int,50000,0.014000
bintree_sort,float,50000,0.042000
rbtree_sort,float,50000,0.044000
qsort,float,50000,0.015000
bintree_sort,double,50000,0.044000
rbtree_sort,double,50000,0.046000
qsort,double,50000,0.016000
bintree_sort,string,50000,0.050000
rbtree_sort,string,50000,0.055000
qsort,string,50000,0.021000
bintree_sort,int,100000,0.097000
rbtree_sort,int,100000,0.104000
qsort,int,100000,0.026000
bintree_sort,float,100000,0.129000
rbtree_sort,float,100000,0.107000
qsort,float,100000,0.034000
bintree_sort,double,100000,0.106000
rbtree_sort,double,100000,0.109000
qsort,double,100000,0.036000
bintree_sort,string,100000,0.115000
rbtree_sort,string,100000,0.124000
qsort,string,100000,0.044000
bintree_sort,int,250000,0.393000
rbtree_sort,int,250000,0.372000
qsort,int,250000,0.065000
bintree_sort,float,250000,0.341000
rbtree_sort,float,250000,0.339000
qsort,float,250000,0.094000
bintree_sort,double,250000,0.331000
rbtree_sort,double,250000,0.301000
qsort,double,250000,0.093000
bintree_sort,string,250000,0.495000
rbtree_sort,string,250000,0.494000
qsort,string,250000,0.143000
bintree_sort,int,500000,1.326000
rbtree_sort,int,500000,1.192000
qsort,int,500000,0.134000
bintree_sort,float,500000,0.994000
rbtree_sort,float,500000,0.914000
qsort,float,500000,0.176000
bintree_sort,double,500000,0.911000
rbtree_sort,double,500000,0.795000
qsort,double,500000,0.198000
bintree_sort,string,500000,1.032000
rbtree_sort,string,500000,1.007000
qsort,string,500000,0.266000
bintree_sort,int,1000000,4.050000
rbtree_sort,int,1000000,4.962000
qsort,int,1000000,0.242000
bintree_sort,float,1000000,2.467000
rbtree_sort,float,1000000,2.875000
qsort,float,1000000,0.354000
bintree_sort,double,1000000,2.764000
rbtree_sort,double,1000000,2.325000
qsort,double,1000000,0.407000
bintree_sort,string,1000000,2.714000
rbtree_sort,string,1000000,3.249000
qsort,string,1000000,0.726000
bintree_sort,int,2000000,15.364000
rbtree_sort,int,2000000,14.711000
qsort,int,2000000,0.486000
bintree_sort,float,2000000,6.499000
rbtree_sort,float,2000000,6.490000
qsort,float,2000000,0.734000
bintree_sort,double,2000000,6.320000
rbtree_sort,double,2000000,6.665000
qsort,double,2000000,0.944000
bintree_sort,string,2000000,7.707000
rbtree_sort,string,2000000,7.464000
qsort,string,2000000,1.594000
